baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003.15	96.3809332769336	7.8288162509806	1.1343329878942	6.90169142088885	5.13869662813271e-12	6.45057866941075e-11
ENSG00000000419.14	87.8268007769104	-1.21653010733936	0.613925039923018	-1.98156131160883	0.047528360867021	0.0834802374160683
ENSG00000000457.14	31.1743182966741	-2.63082924273017	0.824177793104112	-3.19206518877637	0.00141259447862173	0.0037801074077029
ENSG00000000460.17	28.7296196828585	-2.72854048998855	0.851849678225211	-3.2030774439844	0.00135967411889693	0.0036545422761496
ENSG00000000938.13	2.016646535439	4.67672821362821	3.03435984744793	1.5412569532785	0.123254261113017	NA
ENSG00000000971.16	140.629383891746	-10.3894598606028	1.51364132875958	-6.86388490007532	6.70126315967957e-12	8.28378969335501e-11
ENSG00000001036.14	237.216971514625	-3.21871147708501	0.469378824762793	-6.85738535118543	7.01322674253816e-12	8.65240065128751e-11
ENSG00000001084.13	56.133996463532	-1.02280967618865	0.585114754636951	-1.74804970834016	0.0804554203317303	0.130074152330217
ENSG00000001167.15	159.793181577059	-1.4921671739925	0.495441269446394	-3.0117942650596	0.00259708548483197	0.00652804114015926
ENSG00000001460.18	86.5063879842036	1.28661798258603	0.543665977242684	2.36655968267756	0.0179542791654558	0.0361658606465949
ENSG00000001461.17	155.41426902941	-2.07633677586369	0.449783268234947	-4.61630505734842	3.90632616065508e-06	1.80359880109173e-05
ENSG00000001497.18	222.060242184018	-1.98278143801072	0.467289033790349	-4.24315850497852	2.20395651120193e-05	8.71148648679075e-05
ENSG00000001561.7	5.78272851784938	6.19621680119895	2.16510728435078	2.86185208741604	0.00421173412364393	0.0100634664905619
ENSG00000001617.12	165.287959025003	5.24773903114425	0.533496977682273	9.83649252136827	7.83964192858186e-23	3.84050762782048e-21
ENSG00000001626.16	2.80246843831368	2.2189513115636	2.39891670645561	0.924980557095748	0.354976021109882	0.448827852008072
ENSG00000001629.10	107.913896829983	-1.53255529385473	0.480671922976379	-3.18836033601663	0.00143082111310334	0.00382368836595067
ENSG00000001630.17	147.764744110138	-2.60303364049778	0.627248292897641	-4.14992542821087	3.3258360826644e-05	0.000126734778761849
ENSG00000001631.16	55.6314880808327	-4.2134762579385	0.735401191719144	-5.72949337774212	1.00731021531081e-08	7.36106804913521e-08
ENSG00000002016.18	38.4365139932924	0.153632982134341	0.661804463135622	0.232142559762183	0.816427289715107	0.862846806755134
